Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3)
01.01.2009 07:10:00,998.5,-8.71,264.56,-9.63,93,3.16,2.94,0.22,1.83,2.94,1313.87
01.01.2009 07:20:00,998.59,-8.55,264.72,-9.47,93,3.2,2.97,0.22,1.85,2.98,1313.17
01.01.2009 07:30:00,998.79,-8.4,264.85,-9.31,93.1,3.24,3.01,0.22,1.88,3.02,1312.67
01.01.2009 07:40:00,998.86,-8.3,264.95,-9.21,93.1,3.26,3.04,0.22,1.89,3.04,1312.25
01.01.2009 07:50:00,999.04,-8.13,265.1,-9.03,93.2,3.3,3.08,0.22,1.92,3.08,1311.63
01.01.2009 08:00:00,999.17,-8.1,265.12,-9.05,92.8,3.31,3.07,0.24,1.92,3.08,1311.65
01.01.2009 08:10:00,999.27,-8.14,265.08,-9.12,92.6,3.3,3.06,0.24,1.91,3.06,1311.98
01.01.2009 08:20:00,999.33,-8.06,265.15,-9.02,92.7,3.32,3.08,0.24,1.92,3.08,1311.66
01.01.2009 08:30:00,999.44,-7.95,265.25,-8.93,92.6,3.35,3.1,0.25,1.93,3.1,1311.26
01.01.2009 08:40:00,999.46,-7.74,265.46,-8.67,93,3.41,3.17,0.24,1.97,3.17,1310.21
01.01.2009 08:50:00,999.59,-7.57,265.62,-8.64,92,3.45,3.18,0.28,1.98,3.18,1309.54
01.01.2009 09:00:00,999.69,-7.66,265.52,-8.84,91.2,3.43,3.13,0.3,1.95,3.13,1310.14
01.01.2009 09:10:00,999.79,-7.71,265.47,-8.87,91.3,3.41,3.12,0.3,1.94,3.12,1310.51
01.01.2009 09:20:00,999.81,-7.56,265.61,-8.67,91.7,3.45,3.17,0.29,1.97,3.17,1309.78
01.01.2009 09:30:00,999.83,-7.29,265.88,-8.33,92.2,3.53,3.25,0.28,2.03,3.25,1308.43
01.01.2009 09:40:00,999.96,-7.15,266.01,-8.21,92.1,3.57,3.28,0.28,2.05,3.28,1307.9
01.01.2009 09:50:00,1000.13,-7.02,266.13,-8.06,92.2,3.6,3.32,0.28,2.07,3.32,1307.46
01.01.2009 10:00:00,1000.27,-7.04,266.1,-8.17,91.6,3.6,3.3,0.3,2.05,3.29,1307.76
01.01.2009 10:10:00,1000.43,-7.03,266.1,-8.16,91.6,3.6,3.3,0.3,2.05,3.3,1307.91
01.01.2009 10:20:00,1000.54,-7.15,265.97,-8.34,91.1,3.57,3.25,0.32,2.02,3.25,1308.67
01.01.2009 10:30:00,1000.68,-7.26,265.85,-8.47,91,3.54,3.22,0.32,2,3.22,1309.41
01.01.2009 10:40:00,1000.78,-7.34,265.76,-8.57,90.8,3.51,3.19,0.32,1.99,3.19,1309.96
01.01.2009 10:50:00,1000.83,-7.35,265.75,-8.57,90.9,3.51,3.19,0.32,1.99,3.19,1310.07
01.01.2009 11:00:00,1000.87,-7.41,265.68,-8.66,90.7,3.5,3.17,0.33,1.97,3.17,1310.43
01.01.2009 11:10:00,1000.81,-7.48,265.62,-8.76,90.5,3.48,3.15,0.33,1.96,3.14,1310.71
01.01.2009 11:20:00,1000.74,-7.38,265.72,-8.64,90.6,3.5,3.17,0.33,1.98,3.17,1310.1
01.01.2009 11:30:00,1000.61,-7.21,265.9,-8.53,90.2,3.55,3.2,0.35,1.99,3.2,1309.08
01.01.2009 11:40:00,1000.5,-7.16,265.96,-8.54,89.8,3.56,3.2,0.36,1.99,3.2,1308.69
01.01.2009 11:50:00,1000.36,-7.03,266.1,-8.44,89.6,3.6,3.23,0.37,2.01,3.22,1307.86
01.01.2009 12:00:00,1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98
01.01.2009 12:10:00,1000.21,-6.77,266.38,-8.19,89.5,3.67,3.29,0.39,2.05,3.29,1306.33
01.01.2009 12:20:00,1000.18,-6.7,266.44,-8.09,89.8,3.69,3.32,0.38,2.06,3.32,1305.97
01.01.2009 12:30:00,1000.14,-6.61,266.54,-8,89.7,3.72,3.34,0.38,2.08,3.34,1305.44
01.01.2009 12:40:00,1000.02,-6.51,266.65,-7.93,89.5,3.75,3.36,0.39,2.09,3.36,1304.79
01.01.2009 12:50:00,1000.02,-6.21,266.95,-7.65,89.4,3.84,3.43,0.41,2.14,3.43,1303.28
01.01.2009 13:00:00,1000.03,-5.89,267.27,-7.46,88.6,3.93,3.48,0.45,2.17,3.48,1301.73
01.01.2009 13:10:00,999.97,-5.83,267.33,-7.52,87.8,3.95,3.47,0.48,2.16,3.47,1301.38
01.01.2009 13:20:00,999.97,-5.76,267.41,-7.46,87.7,3.97,3.48,0.49,2.17,3.48,1301
01.01.2009 13:30:00,1000.02,-5.9,267.26,-7.62,87.5,3.93,3.44,0.49,2.14,3.44,1301.76
01.01.2009 13:40:00,999.89,-5.97,267.2,-7.55,88.5,3.91,3.46,0.45,2.15,3.46,1301.94
01.01.2009 13:50:00,999.81,-5.88,267.3,-7.44,88.6,3.94,3.49,0.45,2.17,3.49,1301.37
01.01.2009 14:00:00,999.81,-5.94,267.24,-7.43,89.1,3.92,3.49,0.43,2.17,3.49,1301.67
01.01.2009 14:10:00,999.81,-5.84,267.34,-7.26,89.6,3.95,3.54,0.41,2.2,3.54,1301.17
01.01.2009 14:20:00,999.8,-5.76,267.41,-7.16,89.8,3.97,3.56,0.4,2.22,3.56,1300.77
01.01.2009 14:30:00,999.81,-5.75,267.43,-7.14,89.8,3.97,3.57,0.41,2.22,3.57,1300.69
01.01.2009 14:40:00,999.82,-5.76,267.41,-7.1,90.2,3.97,3.58,0.39,2.23,3.58,1300.77
01.01.2009 14:50:00,999.83,-5.73,267.45,-7.05,90.3,3.98,3.59,0.39,2.24,3.59,1300.61
01.01.2009 15:00:00,999.88,-5.69,267.48,-7,90.4,3.99,3.61,0.38,2.25,3.61,1300.51
01.01.2009 15:10:00,999.98,-5.53,267.63,-6.87,90.2,4.04,3.64,0.4,2.27,3.64,1299.83
01.01.2009 15:20:00,1000.06,-5.57,267.59,-6.97,89.8,4.03,3.62,0.41,2.25,3.62,1300.14
01.01.2009 15:30:00,1000.04,-5.43,267.73,-6.8,90,4.07,3.66,0.41,2.28,3.66,1299.4
01.01.2009 15:40:00,1000,-5.32,267.84,-6.76,89.5,4.11,3.68,0.43,2.29,3.68,1298.82
01.01.2009 15:50:00,999.95,-5.36,267.81,-6.84,89.2,4.09,3.65,0.44,2.28,3.65,1298.95
01.01.2009 16:00:00,999.94,-5.4,267.76,-6.86,89.4,4.08,3.65,0.43,2.27,3.65,1299.17
01.01.2009 16:10:00,1000.05,-5.31,267.85,-6.69,89.9,4.11,3.69,0.42,2.3,3.69,1298.81
01.01.2009 16:20:00,1000.05,-5.28,267.88,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.69
01.01.2009 16:30:00,1000.1,-5.32,267.83,-6.77,89.5,4.11,3.67,0.43,2.29,3.67,1298.96
01.01.2009 16:40:00,1000.17,-5.29,267.86,-6.7,89.7,4.12,3.69,0.42,2.3,3.69,1298.87
01.01.2009 16:50:00,1000.13,-5.33,267.82,-6.81,89.2,4.1,3.66,0.44,2.28,3.66,1299.04
01.01.2009 17:00:00,1000.17,-5.37,267.78,-6.82,89.4,4.09,3.66,0.43,2.28,3.66,1299.27
01.01.2009 17:10:00,1000.17,-5.43,267.72,-6.9,89.3,4.07,3.64,0.44,2.26,3.64,1299.6
01.01.2009 17:20:00,1000.18,-5.28,267.86,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.87
01.01.2009 17:30:00,1000.18,-5.21,267.94,-6.7,89.2,4.14,3.69,0.45,2.3,3.69,1298.51
01.01.2009 17:40:00,1000.17,-5.21,267.93,-6.75,88.9,4.14,3.68,0.46,2.29,3.68,1298.52
01.01.2009 17:50:00,1000.16,-5.24,267.91,-6.77,88.9,4.13,3.67,0.46,2.29,3.67,1298.65
01.01.2009 18:00:00,1000.16,-5.25,267.9,-6.75,89.1,4.13,3.68,0.45,2.29,3.68,1298.68
01.01.2009 18:10:00,1000.13,-5.16,267.99,-6.67,89.1,4.16,3.7,0.45,2.31,3.7,1298.21
01.01.2009 18:20:00,1000.07,-5.12,268.04,-6.62,89.1,4.17,3.72,0.45,2.31,3.72,1297.91
01.01.2009 18:30:00,1000.11,-5.04,268.12,-6.57,88.9,4.2,3.73,0.47,2.32,3.73,1297.56
01.01.2009 18:40:00,1000.18,-5.01,268.13,-6.58,88.7,4.2,3.73,0.47,2.32,3.73,1297.55
01.01.2009 18:50:00,1000.23,-5.12,268.02,-6.68,88.7,4.17,3.7,0.47,2.3,3.7,1298.15
01.01.2009 19:00:00,1000.22,-5.11,268.03,-6.57,89.4,4.17,3.73,0.44,2.32,3.73,1298.07
01.01.2009 19:10:00,1000.3,-4.9,268.24,-6.36,89.4,4.24,3.79,0.45,2.36,3.79,1297.1
01.01.2009 19:20:00,1000.19,-4.86,268.28,-6.4,88.9,4.25,3.78,0.47,2.35,3.78,1296.82
01.01.2009 19:30:00,1000.18,-4.9,268.25,-6.46,88.7,4.24,3.76,0.48,2.34,3.76,1296.97
01.01.2009 19:40:00,1000.14,-4.97,268.18,-6.53,88.7,4.22,3.74,0.48,2.33,3.74,1297.26
01.01.2009 19:50:00,1000.18,-4.99,268.16,-6.51,89,4.21,3.75,0.46,2.33,3.75,1297.41
01.01.2009 20:00:00,1000.22,-4.9,268.24,-6.38,89.3,4.24,3.79,0.45,2.36,3.78,1297.05
01.01.2009 20:10:00,1000.27,-4.93,268.21,-6.38,89.5,4.23,3.78,0.44,2.36,3.78,1297.25
01.01.2009 20:20:00,1000.21,-4.89,268.26,-6.29,89.8,4.24,3.81,0.43,2.37,3.81,1296.93
01.01.2009 20:30:00,1000.19,-4.93,268.21,-6.32,89.9,4.23,3.8,0.43,2.37,3.8,1297.13
01.01.2009 20:40:00,1000.24,-5,268.14,-6.34,90.2,4.21,3.8,0.41,2.36,3.8,1297.52
01.01.2009 20:50:00,1000.3,-4.9,268.24,-6.19,90.6,4.24,3.84,0.4,2.39,3.84,1297.08
01.01.2009 21:00:00,1000.19,-4.8,268.35,-6.14,90.2,4.27,3.85,0.42,2.4,3.85,1296.45
01.01.2009 21:10:00,1000.19,-4.84,268.31,-6.21,90,4.26,3.83,0.43,2.39,3.83,1296.64
01.01.2009 21:20:00,1000.15,-4.9,268.25,-6.25,90.2,4.24,3.82,0.42,2.38,3.82,1296.91
01.01.2009 21:30:00,1000.09,-4.86,268.29,-6.18,90.4,4.25,3.84,0.41,2.39,3.84,1296.63
01.01.2009 21:40:00,1000.06,-4.76,268.4,-6.06,90.5,4.29,3.88,0.41,2.42,3.88,1296.07
01.01.2009 21:50:00,1000.03,-4.61,268.55,-5.9,90.6,4.34,3.93,0.41,2.45,3.93,1295.29
01.01.2009 22:00:00,1000,-4.5,268.66,-5.82,90.4,4.37,3.95,0.42,2.46,3.95,1294.72
01.01.2009 22:10:00,999.92,-4.41,268.76,-5.73,90.4,4.4,3.98,0.42,2.48,3.98,1294.16
01.01.2009 22:20:00,999.93,-4.4,268.77,-5.77,90.1,4.4,3.97,0.44,2.47,3.97,1294.14
01.01.2009 22:30:00,999.87,-4.32,268.85,-5.7,90,4.43,3.99,0.44,2.48,3.99,1293.65
01.01.2009 22:40:00,999.8,-4.17,269,-5.6,89.7,4.48,4.02,0.46,2.5,4.02,1292.87
01.01.2009 22:50:00,999.77,-4.3,268.88,-5.79,89.3,4.44,3.96,0.47,2.47,3.96,1293.46
01.01.2009 23:00:00,999.77,-4.47,268.71,-5.84,90.1,4.38,3.95,0.43,2.46,3.95,1294.29
01.01.2009 23:10:00,999.8,-4.5,268.68,-5.71,91.2,4.37,3.99,0.38,2.48,3.99,1294.45
01.01.2009 23:20:00,999.81,-4.51,268.66,-5.65,91.7,4.37,4,0.36,2.5,4.01,1294.5
01.01.2009 23:30:00,999.8,-4.33,268.84,-5.36,92.5,4.43,4.09,0.33,2.55,4.09,1293.6
01.01.2009 23:40:00,999.71,-4.33,268.85,-5.43,92,4.43,4.07,0.35,2.54,4.07,1293.47
01.01.2009 23:50:00,999.67,-4.58,268.61,-5.62,92.4,4.34,4.01,0.33,2.5,4.02,1294.65
02.01.2009 00:00:00,999.59,-4.54,268.65,-5.46,93.2,4.36,4.06,0.3,2.53,4.06,1294.33
02.01.2009 00:10:00,999.55,-4.6,268.6,-5.52,93.2,4.34,4.04,0.29,2.52,4.04,1294.58
02.01.2009 00:20:00,999.56,-4.67,268.53,-5.52,93.7,4.32,4.04,0.27,2.52,4.05,1294.91
02.01.2009 00:30:00,999.56,-4.66,268.53,-5.46,94.1,4.32,4.06,0.25,2.53,4.06,1294.89
02.01.2009 00:40:00,999.48,-4.55,268.65,-5.31,94.4,4.35,4.11,0.24,2.56,4.11,1294.22
02.01.2009 00:50:00,999.44,-4.43,268.77,-5.19,94.4,4.39,4.15,0.25,2.59,4.15,1293.56
02.01.2009 01:00:00,999.34,-4.44,268.77,-5.19,94.4,4.39,4.15,0.25,2.58,4.15,1293.47
02.01.2009 01:10:00,999.31,-4.39,268.82,-5.14,94.5,4.41,4.16,0.24,2.6,4.17,1293.22
02.01.2009 01:20:00,999.21,-4.4,268.82,-5.16,94.4,4.4,4.16,0.25,2.59,4.16,1293.11
02.01.2009 01:30:00,999.18,-4.4,268.82,-5.13,94.6,4.4,4.17,0.24,2.6,4.17,1293.08
02.01.2009 01:40:00,999.08,-4.31,268.92,-5.03,94.7,4.43,4.2,0.24,2.62,4.2,1292.49
02.01.2009 01:50:00,999,-4.26,268.98,-4.99,94.6,4.45,4.21,0.24,2.63,4.21,1292.14
02.01.2009 02:00:00,998.93,-4.29,268.95,-5.04,94.5,4.44,4.2,0.24,2.62,4.2,1292.22
02.01.2009 02:10:00,998.93,-4.26,268.99,-4.99,94.6,4.45,4.21,0.24,2.63,4.22,1292.03
02.01.2009 02:20:00,998.82,-4.27,268.99,-5.02,94.4,4.45,4.2,0.25,2.62,4.2,1291.94
02.01.2009 02:30:00,998.82,-4.3,268.95,-5.04,94.5,4.44,4.19,0.24,2.62,4.2,1292.11
02.01.2009 02:40:00,998.78,-4.32,268.94,-5.05,94.6,4.43,4.19,0.24,2.61,4.2,1292.15
02.01.2009 02:50:00,998.73,-4.39,268.87,-5.12,94.6,4.41,4.17,0.24,2.6,4.18,1292.43
02.01.2009 03:00:00,998.69,-4.45,268.81,-5.15,94.8,4.39,4.16,0.23,2.59,4.16,1292.69
02.01.2009 03:10:00,998.67,-4.5,268.76,-5.17,95,4.37,4.15,0.22,2.59,4.16,1292.9
02.01.2009 03:20:00,998.58,-4.48,268.79,-5.12,95.2,4.38,4.17,0.21,2.6,4.17,1292.66
02.01.2009 03:30:00,998.49,-4.43,268.84,-5.07,95.3,4.39,4.19,0.21,2.61,4.19,1292.34
02.01.2009 03:40:00,998.44,-4.33,268.95,-4.94,95.5,4.43,4.23,0.2,2.64,4.23,1291.75
02.01.2009 03:50:00,998.39,-4.41,268.87,-5.07,95.1,4.4,4.18,0.22,2.61,4.19,1292.1
02.01.2009 04:00:00,998.32,-4.58,268.71,-5.22,95.2,4.34,4.14,0.21,2.58,4.14,1292.83
02.01.2009 04:10:00,998.29,-4.63,268.66,-5.25,95.4,4.33,4.13,0.2,2.58,4.14,1293.05
02.01.2009 04:20:00,998.12,-4.63,268.68,-5.23,95.5,4.33,4.13,0.19,2.58,4.14,1292.8
02.01.2009 04:30:00,997.95,-4.74,268.58,-5.33,95.6,4.29,4.1,0.19,2.56,4.11,1293.15
02.01.2009 04:40:00,998.03,-4.86,268.45,-5.44,95.7,4.25,4.07,0.18,2.54,4.08,1293.84
02.01.2009 04:50:00,998.08,-4.97,268.34,-5.51,95.9,4.22,4.05,0.17,2.53,4.05,1294.44
02.01.2009 05:00:00,998.1,-4.96,268.34,-5.5,96,4.22,4.05,0.17,2.53,4.06,1294.44
02.01.2009 05:10:00,998.21,-4.94,268.36,-5.48,96,4.23,4.06,0.17,2.53,4.06,1294.48
02.01.2009 05:20:00,998.21,-4.78,268.52,-5.27,96.3,4.28,4.12,0.16,2.57,4.13,1293.66
02.01.2009 05:30:00,998.13,-4.63,268.68,-5.14,96.2,4.33,4.16,0.16,2.6,4.17,1292.8
02.01.2009 05:40:00,998.02,-4.64,268.67,-5.19,95.9,4.32,4.15,0.18,2.59,4.16,1292.73
02.01.2009 05:50:00,997.93,-4.67,268.65,-5.21,96,4.31,4.14,0.17,2.59,4.15,1292.78
02.01.2009 06:00:00,998,-4.43,268.88,-4.94,96.2,4.39,4.23,0.17,2.64,4.23,1291.66
02.01.2009 06:10:00,998.11,-4.38,268.93,-4.93,95.9,4.41,4.23,0.18,2.64,4.24,1291.55
02.01.2009 06:20:00,998.15,-4.32,268.98,-4.87,95.9,4.43,4.25,0.18,2.65,4.26,1291.31
02.01.2009 06:30:00,998.21,-4.25,269.05,-4.81,95.8,4.46,4.27,0.19,2.66,4.28,1291.03
02.01.2009 06:40:00,998.22,-4.16,269.14,-4.75,95.6,4.48,4.29,0.2,2.68,4.3,1290.61
02.01.2009 06:50:00,998.19,-4.26,269.04,-4.88,95.4,4.45,4.25,0.2,2.65,4.25,1291.06
02.01.2009 07:00:00,998.17,-4.28,269.02,-4.89,95.5,4.44,4.24,0.2,2.65,4.25,1291.15
02.01.2009 07:10:00,998.19,-4.34,268.96,-4.98,95.3,4.42,4.21,0.21,2.63,4.22,1291.5
02.01.2009 07:20:00,998.2,-4.37,268.93,-5.01,95.2,4.42,4.2,0.21,2.62,4.21,1291.62
02.01.2009 07:30:00,998.22,-4.33,268.97,-4.97,95.2,4.43,4.22,0.21,2.63,4.22,1291.44
02.01.2009 07:40:00,998.17,-4.43,268.87,-5.09,95.1,4.39,4.18,0.22,2.61,4.19,1291.91
02.01.2009 07:50:00,998.18,-4.39,268.91,-5.05,95.1,4.41,4.19,0.22,2.62,4.2,1291.73
02.01.2009 08:00:00,998.18,-4.33,268.97,-5.04,94.8,4.43,4.2,0.23,2.62,4.2,1291.44
02.01.2009 08:10:00,998.11,-4.37,268.94,-5.08,94.7,4.41,4.18,0.23,2.61,4.19,1291.52
02.01.2009 08:20:00,998.1,-4.31,268.99,-5.03,94.7,4.43,4.2,0.23,2.62,4.21,1291.24
02.01.2009 08:30:00,998.15,-4.3,269,-5.06,94.4,4.44,4.19,0.25,2.61,4.2,1291.24
02.01.2009 08:40:00,998.29,-4.24,269.05,-5,94.4,4.46,4.21,0.25,2.63,4.22,1291.14
02.01.2009 08:50:00,998.34,-4.17,269.12,-4.97,94.1,4.48,4.22,0.26,2.63,4.23,1290.83
02.01.2009 09:00:00,998.35,-4.13,269.16,-4.97,93.8,4.49,4.22,0.28,2.63,4.22,1290.68
02.01.2009 09:10:00,998.39,-4.07,269.22,-4.93,93.7,4.52,4.23,0.28,2.64,4.24,1290.42
02.01.2009 09:20:00,998.46,-3.95,269.33,-4.87,93.3,4.56,4.25,0.31,2.65,4.26,1289.96
02.01.2009 09:30:00,998.53,-3.9,269.38,-4.84,93.1,4.57,4.26,0.32,2.66,4.27,1289.77
02.01.2009 09:40:00,998.59,-3.9,269.37,-4.9,92.7,4.57,4.24,0.33,2.65,4.25,1289.86
02.01.2009 09:50:00,998.58,-3.92,269.35,-4.94,92.6,4.57,4.23,0.34,2.64,4.23,1289.99
02.01.2009 10:00:00,998.65,-3.93,269.34,-4.99,92.3,4.56,4.21,0.35,2.63,4.22,1290.1
02.01.2009 10:10:00,998.78,-3.97,269.29,-5,92.5,4.55,4.21,0.34,2.63,4.21,1290.45
02.01.2009 10:20:00,998.83,-3.93,269.32,-4.93,92.7,4.56,4.23,0.33,2.64,4.23,1290.35
02.01.2009 10:30:00,998.84,-3.9,269.35,-4.91,92.6,4.57,4.24,0.34,2.64,4.24,1290.2
02.01.2009 10:40:00,998.87,-3.87,269.38,-4.88,92.6,4.59,4.25,0.34,2.65,4.25,1290.06
02.01.2009 10:50:00,998.92,-3.74,269.51,-4.77,92.5,4.63,4.28,0.35,2.67,4.29,1289.5
02.01.2009 11:00:00,998.98,-3.62,269.62,-4.68,92.3,4.67,4.31,0.36,2.69,4.32,1288.99
02.01.2009 11:10:00,998.88,-3.49,269.76,-4.61,91.9,4.72,4.33,0.38,2.7,4.34,1288.25
02.01.2009 11:20:00,998.79,-3.36,269.89,-4.51,91.7,4.76,4.37,0.4,2.72,4.37,1287.49
02.01.2009 11:30:00,998.88,-3.21,270.04,-4.43,91.2,4.82,4.39,0.42,2.74,4.4,1286.88
02.01.2009 11:40:00,998.88,-3.17,270.08,-4.45,90.8,4.83,4.39,0.44,2.74,4.39,1286.66
02.01.2009 11:50:00,998.94,-3.02,270.22,-4.33,90.6,4.89,4.43,0.46,2.76,4.43,1286.02
02.01.2009 12:00:00,998.91,-3.12,270.13,-4.5,90.1,4.85,4.37,0.48,2.73,4.38,1286.47
02.01.2009 12:10:00,998.85,-3.07,270.18,-4.4,90.5,4.87,4.41,0.46,2.75,4.41,1286.16
02.01.2009 12:20:00,998.82,-2.9,270.35,-4.33,89.8,4.93,4.43,0.5,2.76,4.43,1285.32
02.01.2009 12:30:00,998.78,-2.81,270.45,-4.36,89,4.96,4.42,0.55,2.76,4.42,1284.82
02.01.2009 12:40:00,998.64,-2.8,270.47,-4.39,88.7,4.97,4.41,0.56,2.75,4.41,1284.58
02.01.2009 12:50:00,998.61,-2.64,270.63,-4.27,88.5,5.03,4.45,0.58,2.78,4.46,1283.79
02.01.2009 13:00:00,998.59,-2.53,270.74,-4.23,88,5.07,4.46,0.61,2.78,4.47,1283.22
02.01.2009 13:10:00,998.58,-2.54,270.73,-4.3,87.6,5.07,4.44,0.63,2.77,4.44,1283.27
02.01.2009 13:20:00,998.62,-2.49,270.77,-4.23,87.8,5.08,4.46,0.62,2.78,4.47,1283.09
02.01.2009 13:30:00,998.6,-2.26,271.01,-4.08,87.2,5.17,4.51,0.66,2.81,4.52,1281.93
02.01.2009 13:40:00,998.67,-2.21,271.05,-4.13,86.6,5.19,4.49,0.7,2.8,4.5,1281.82
02.01.2009 13:50:00,998.7,-2.41,270.85,-4.33,86.6,5.11,4.43,0.69,2.76,4.43,1282.82
02.01.2009 14:00:00,998.73,-2.56,270.7,-4.29,87.8,5.06,4.44,0.62,2.77,4.45,1283.56
02.01.2009 14:10:00,998.73,-2.62,270.63,-4.24,88.6,5.03,4.46,0.57,2.78,4.46,1283.86
02.01.2009 14:20:00,998.75,-2.54,270.72,-4.09,89,5.07,4.51,0.56,2.81,4.51,1283.45
